Track_uri,Album_name,Track_name,Track_genres,Artist_name,Track_popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
spotify:track:6WbJwl0Dsr9FRXsifwiv1N,Yeh Jo Mohabbat Hai (Original Motion Picture Soundtrack),Tere Bina Jee Na Lage,"desi pop,filmi,modern bollywood",Mohit Chauhan,0,0.575,0.654,5,-8.248,0.0393,0.487,0.0,0.127,0.443,135.014,376347
spotify:track:0ECtOTGgOhHYGiF9dF60oZ,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),"Tera Hone Laga Hoon (From ""Ajab Prem Ki Ghazab Kahani"")","classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,0,0.682,0.772,8,-5.338,0.0307,0.55,0.0,0.202,0.538,119.984,294176
spotify:track:6MOtIjvSdqWDGHuniwSpyu,Bang Bang (Original Motion Picture Soundtrack),Meherbaan,"desi pop,filmi,modern bollywood",Vishal-Shekhar,0,0.591,0.531,4,-8.677,0.0472,0.629,3.87e-06,0.499,0.478,80.971,307407
spotify:track:4LO5DjN6Tp3UkUvgESuy2t,Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Samjhawan,"desi pop,filmi,modern bollywood",Arijit Singh,62,0.65,0.482,4,-8.667,0.0281,0.293,0.0,0.0811,0.517,106.994,269185
spotify:track:2sURneAotz0wUnak36GzQY,Phata Poster Nikhla Hero (Original Motion Picture Soundtrack),Main Rang Sharbaton Ka,"desi pop,filmi,modern bollywood",Arijit Singh,0,0.383,0.57,6,-9.26,0.04,0.764,0.0,0.082,0.713,90.057,277565
spotify:track:72JWYT4Y02KWfXlSyAdytc,Guddu Rangeela (Original Motion Picture Soundtrack),Sooiyan,"desi pop,filmi,modern bollywood",Arijit Singh,0,0.454,0.505,6,-7.387,0.0316,0.788,0.000107,0.103,0.345,84.985,241103
spotify:track:4JQxGJ8jsKW8pOUVoAgOZr,Andhadhun,Naina Da Kya Kasoor,"desi pop,filmi,modern bollywood",Amit Trivedi,67,0.845,0.659,9,-6.348,0.0373,0.159,0.0129,0.0782,0.547,125.965,210952
spotify:track:2iZeKe5avjtKVmjfSFkpxd,Once Upon A Time In Mumbaai,Tum Jo Aaye,"classic pakistani pop,filmi,modern bollywood,qawwali,sufi",Rahat Fateh Ali Khan,64,0.574,0.841,4,-4.449,0.0948,0.399,1e-06,0.205,0.927,83.706,286444
spotify:track:1NX33DecZrq4ZUGDc47AfN,Ultimate Love Songs - Arijit Singh,"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")","desi pop,filmi,modern bollywood",Arijit Singh,62,0.566,0.541,10,-5.525,0.0306,0.341,4.45e-06,0.102,0.31,83.939,264806
spotify:track:1awtp7rf6ajhGY9BgzCHeZ,Shivaay,"Darkhaast (feat. Arijit Singh, Sunidhi Chauhan)","desi pop,filmi,modern bollywood",Arijit Singh,65,0.523,0.557,7,-7.799,0.0293,0.813,0.000581,0.0958,0.196,111.766,374205
spotify:track:57jOEZtoLQK4zF2x55bdkp,"Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","desi pop,filmi,modern bollywood",Arijit Singh,71,0.718,0.382,7,-8.237,0.0466,0.585,0.0,0.128,0.499,87.029,200992
spotify:track:5qtEWwRUX3GKgpWwDQf9SA,Chhichhore,Woh Din,"desi pop,filmi,modern bollywood",Arijit Singh,59,0.652,0.681,0,-7.565,0.0379,0.503,8.2e-06,0.181,0.677,81.489,258036
spotify:track:4vwPirpSJCOiIsgxMV4Xcv,Liggi,Liggi,"desi hip hop,desi pop,hindi indie,indian edm",Ritviz,69,0.786,0.667,5,-8.272,0.054,0.0112,0.053,0.074,0.688,102.046,181176
spotify:track:0biCSADTAblvLTLtJz4pXO,Befikre,Nashe Si Chadh Gayi,"desi pop,filmi,modern bollywood",Arijit Singh,66,0.799,0.784,4,-5.207,0.0519,0.11,2.84e-06,0.227,0.26,96.953,237876
spotify:track:3uL1IBFhg52VcQqOwAG01E,2 States,Mast Magan,"desi pop,filmi,modern bollywood",Arijit Singh,67,0.659,0.774,7,-7.014,0.0372,0.606,0.000333,0.185,0.883,82.995,280161
spotify:track:4bD9z9qa4qg9BhryvYWB7c,Yeh Jawaani Hai Deewani,Kabira,"desi pop,filmi,indian instrumental,modern bollywood",Pritam,72,0.59,0.555,2,-6.861,0.0271,0.481,0.0,0.192,0.191,84.027,223460
spotify:track:4Tkb7zsDmsawB7S5TpKQV1,Pehli Dafa,Pehli Dafa,"classic pakistani pop,desi pop,filmi,modern bollywood,sufi",Atif Aslam,67,0.679,0.537,4,-7.843,0.0322,0.844,3.34e-06,0.108,0.481,111.979,298771
spotify:track:1smFN2CLqGROu0J0UyvDfL,Love Aaj Kal (Original Motion Picture Soundtrack),Shayad,"desi pop,filmi,modern bollywood",Arijit Singh,72,0.483,0.468,8,-7.642,0.0341,0.784,0.0,0.152,0.319,135.875,247941
spotify:track:1feANd8EfcDP5UqSvbheM3,"Bekhayali (From ""Kabir Singh"")","Bekhayali (From ""Kabir Singh"")","desi pop,modern bollywood",Sachet Tandon,66,0.308,0.585,9,-5.18,0.0428,0.45,0.0,0.319,0.345,171.843,371791
spotify:track:1y1rQTkWmrZdJmjwuK07GC,"Kaise Hua (From ""Kabir Singh"")","Kaise Hua (From ""Kabir Singh"")","desi pop,modern bollywood",Vishal Mishra,69,0.385,0.464,2,-6.975,0.0404,0.452,0.0,0.109,0.15,137.839,234722
